,user_id,auction_id,cat_id,cat1,buy_mount,day,birthday,age
29,87659835,4600695918,50023732,2,1,2013/4/24,2011/9/30,1.57
30,188799366,23990428301,50012451,1,1,2014/3/19,2011/11/30,2.3
31,51587524,22752544214,50010558,1,1,2013/4/13,2009/2/2,4.19
32,274099870,36271556114,50012564,3,1,2014/8/9,2014/8/31,-0.06
33,51150884,41074778874,50007011,1,1,2014/9/12,2008/11/29,5.79
34,286307391,12277146635,50004457,3,1,2012/11/25,2011/10/9,1.13
35,283250293,20261713153,50006602,1,1,2013/10/7,2013/6/13,0.32
36,14905422,40739265133,50234023,3,1,2015/2/5,2011/4/29,3.78
37,410823343,10682626256,50009541,3,1,2012/11/7,2011/3/26,1.62
38,211057395,17690851568,50010557,1,1,2012/12/22,2008/3/11,4.79
39,573822792,37065042003,50010236,3,1,2014/11/11,2014/12/26,-0.12
40,826835722,24111248561,50013207,1,1,2013/9/6,2014/7/2,-0.82
41,160688669,20803560636,50007012,1,1,2012/12/29,2011/9/15,1.29
42,325249615,18350150733,50016706,4,1,2013/9/27,2011/1/3,2.73
43,412025994,37347696228,50023670,2,1,2014/6/21,2013/4/2,1.22
44,116466705,16949927732,50010549,1,1,2013/11/11,2013/1/1,0.86
45,116466705,37893437620,50010558,1,1,2014/3/29,2013/1/1,1.24
46,711496874,15079145376,50016704,4,1,2014/3/26,2011/10/25,2.42
47,693449541,35676960895,50010544,1,1,2013/11/11,2007/1/13,6.83
48,848302497,42258876583,50013636,1,1,2014/12/12,2014/2/18,0.81
49,197066280,14829521668,50015841,2,2,2012/11/25,2008/5/10,4.55
50,13802003,26680928161,121408024,1,2,2014/9/12,2011/10/22,2.89
51,300031861,15556186232,50023632,4,1,2014/2/18,2014/1/5,0.12
52,650723936,38200162608,50012564,3,5,2014/8/14,2014/10/6,-0.15
53,200491949,8680970096,50016704,4,1,2013/7/15,2013/11/6,-0.31
54,139924698,37310042870,50012361,5,1,2014/5/26,2012/1/17,2.36
55,2230873305,36078196999,50009540,3,1,2014/11/5,2012/2/1,2.76
56,426768576,13569192180,121540027,2,1,2014/3/26,2013/4/1,0.98
57,72875105,14151218336,50009549,3,1,2012/9/17,2012/8/2,0.13
58,821089219,12611605545,50006032,4,1,2014/4/10,2014/6/15,-0.18
59,106828323,19622521690,50012835,3,1,2014/6/15,2014/2/1,0.37
60,775276242,37469217502,50012364,5,1,2014/4/16,2011/2/1,3.21
61,761730076,27216992100,50024842,1,4,2013/9/17,2008/2/9,5.61
62,76076096,19139083728,50016704,4,1,2014/1/10,2014/4/28,-0.3
63,50839954,19707779331,211122,6,6,2013/10/27,2011/8/11,2.21
64,759253421,35139641534,121394024,1,1,2014/7/13,2014/2/27,0.37
65,31036295,35401823936,50006602,1,1,2013/10/17,2012/2/5,1.7
66,229463294,15226482483,50018831,3,1,2014/8/12,2013/7/7,1.1
67,255635397,21825255344,50018831,3,1,2014/10/18,2013/6/7,1.36
68,67170281,13973014432,50013711,1,1,2012/9/19,2012/6/12,0.27
69,753852498,26301384761,50012451,1,1,2013/10/9,2013/10/11,-0.01
70,204505282,17968651336,50146022,1,1,2012/12/11,2010/10/6,2.18
71,756621534,40519345896,121394024,1,1,2014/12/3,2014/10/16,0.13
72,66738967,19533837621,50013711,1,1,2013/9/29,2004/11/9,8.89
73,132383393,35463214346,50010410,4,1,2014/11/11,2015/3/15,-0.34
74,1017989581,35886834108,50006235,1,1,2014/12/1,2014/8/4,0.33
75,13735440,18163455793,211122,6,6,2013/12/19,2012/3/23,1.74
76,2114469016,38650644752,50023797,2,1,2014/8/9,2014/4/16,0.32
77,321329368,16663600865,50013207,1,1,2012/8/25,2007/4/28,5.33
78,842436337,19152924798,50013636,1,1,2013/10/15,2011/10/16,2
79,807555311,40558883295,50010555,1,1,2014/11/11,2014/2/13,0.74
80,12519465,18981655392,50018831,3,1,2013/9/10,2013/7/5,0.18
81,112842020,40114158465,50006097,2,1,2014/9/10,2010/11/25,3.79
82,51880578,25498040503,50023709,2,1,2013/8/7,2011/1/7,2.58
83,191156136,22333639799,50012373,4,1,2013/10/16,2013/4/15,0.5
84,124613323,15186722756,50006095,2,1,2012/7/2,2011/4/20,1.2
85,250900287,22915764719,50018202,6,6,2014/4/26,2013/7/8,0.8
86,72231900,18192190705,251725,2,1,2014/4/26,2011/2/21,3.18
88,1630379975,35548389067,50023612,4,1,2013/11/16,2014/4/2,-0.38
89,305489040,41627297374,50013636,1,1,2014/10/13,2013/8/11,1.17
90,360647838,38913401898,50010555,1,1,2014/6/15,2014/1/20,0.4
91,306544399,14952161226,50006032,4,10,2012/10/7,2012/11/4,-0.08
92,243205895,13462585454,50026461,4,1,2014/3/8,2014/7/2,-0.32
93,347068613,39875144532,121406040,4,1,2014/10/2,2014/11/20,-0.13
94,877873688,20119951378,50156020,1,1,2013/6/6,2013/6/10,-0.01
95,13503298,19381961259,50023886,1,1,2013/8/1,2012/9/28,0.84
96,628367479,38794320798,50013177,2,1,2014/11/6,2012/1/26,2.78
97,818864954,38028790160,50006602,1,4,2014/7/22,2014/7/13,0.02
98,675579268,41428238718,50011993,2,1,2015/1/18,2013/9/16,1.34
99,1081311286,41329247014,50013636,1,1,2014/11/3,2013/10/31,1.01
100,17289460,17210154076,50012361,5,1,2013/3/7,2010/12/11,2.24
101,904942807,41366623825,50013636,1,1,2014/11/3,2010/11/5,4
103,779743331,36418774349,50012363,5,1,2014/10/21,2013/9/12,1.11
104,114558810,12254334853,50010236,3,1,2014/5/8,2008/9/14,5.65
105,722440556,43511676953,50013207,1,1,2015/1/20,2014/10/3,0.3
106,357851268,22174892020,50023670,2,1,2013/8/2,2012/6/21,1.12
107,172453374,17551736567,50013175,2,1,2013/4/5,2013/2/6,0.16
108,703730908,15453877039,50012451,1,1,2012/8/20,2010/5/2,2.3
109,793020597,20239214726,50013636,1,1,2013/12/4,2012/4/27,1.61
110,726045779,20083542325,50013636,1,1,2013/10/5,2012/9/4,1.08
111,752822677,24555520405,50013187,2,2,2014/1/23,2013/2/26,0.91
112,377473718,37907720818,121452056,1,1,2014/7/18,2011/12/26,2.56
113,40216027,13777585537,50008895,2,1,2013/10/13,2011/1/24,2.72
114,118942006,19583152851,50023663,2,1,2014/12/26,2012/9/29,2.24
115,620090085,35560674162,50016706,4,1,2014/4/10,2014/9/8,-0.41
116,604714141,74056119,50012485,3,1,2014/6/8,2014/8/5,-0.16
117,1684502624,43540340971,50006235,1,1,2015/1/15,2011/5/25,3.65
118,445949008,36155077547,50012363,5,1,2014/8/2,2014/10/9,-0.19
119,61588159,9680854286,211122,6,2,2014/8/2,2013/8/13,0.97
120,2262837380,42999336100,50010549,1,1,2015/1/6,2011/9/14,3.32
121,1033466085,19526078410,50012364,5,1,2013/10/4,2012/4/11,1.48
122,24079156,36661272201,50013636,1,1,2014/3/18,2010/12/31,3.21
123,67555313,16150518596,50013636,1,1,2012/11/6,2007/6/1,5.44
124,154492646,25458044289,50012449,1,1,2013/6/6,2011/11/13,1.56
126,173329093,35673961051,50013711,1,2,2014/4/9,2013/6/15,0.82
128,257521582,17363277712,50006023,4,1,2014/3/7,2014/5/5,-0.16
129,416284711,18527612360,50012449,1,1,2013/7/23,2013/3/24,0.33
130,223475170,35816820172,50008859,2,1,2014/3/8,2005/12/18,8.22
131,723397857,16718273674,50012359,5,1,2014/10/8,2011/9/17,3.06
132,1055473418,20945084205,50013636,1,2,2012/12/1,2010/11/3,2.08
133,32802731,25934548148,50012359,5,1,2013/8/27,2005/11/30,7.75
134,201402855,16743740350,50156020,1,1,2014/3/25,2008/12/18,5.27
